"","bezirk","lieblings_art","lieblings_freq","total_freq","umfang_median","umfang_mean","mode_hoehe","mode_krone","...1"
"1",99,"Winter-Linde",1609,26104,90,102.688815612898,"6-10","4-6",NA
"2",1,"Celtis australis (Südlicher Zürgelbaum)",831,4379,75,89.2091801781229,"6-10","4-6",1
"3",10,"Acer platanoides (Spitzahorn)",1672,19336,82,94.5921597021101,"6-10","0-3",2
"4",11,"Acer platanoides (Spitzahorn)",968,10926,83,90.881109280615,"6-10","4-6",3
"5",12,"Acer platanoides (Spitzahorn)",1277,8746,88,99.5062885890693,"6-10","4-6",4
"6",13,"Acer platanoides (Spitzahorn)",1303,10595,84,97.4096271826333,"6-10","0-3",5
"7",14,"Acer platanoides (Spitzahorn)",983,9314,93,104.824887266481,"6-10","4-6",6
"8",15,"Acer platanoides (Spitzahorn)",501,5057,85,96.7838639509591,"6-10","0-3",7
"9",16,"Aesculus hippocastanum (Rosskastanie)",634,6914,77,91.1951113682384,"6-10","4-6",8
"10",17,"Acer platanoides (Spitzahorn)",589,4598,76,91.2420617659852,"6-10","0-3",9
"11",18,"Tilia cordata (Winterlinde)",996,9298,93,105.576575607658,"6-10","0-3",10
"12",19,"Acer platanoides (Spitzahorn)",1564,14041,92,103.949362581013,"11-15","0-3",11
"13",2,"Aesculus hippocastanum (Rosskastanie)",4075,20429,100,114.151842968329,"11-15","4-6",12
"14",20,"Acer platanoides (Spitzahorn)",573,7714,96,105.765880217786,"11-15","4-6",13
"15",21,"Acer platanoides (Spitzahorn)",1607,19930,87,95.2755143000502,"6-10","4-6",14
"16",22,"Populus nigra (Schwarzpappel)",1680,29691,81,97.1449260718736,"6-10","0-3",15
"17",23,"Aesculus hippocastanum (Rosskastanie)",1184,14971,78,87.5217420346002,"6-10","4-6",16
"18",3,"Celtis australis (Südlicher Zürgelbaum)",554,6123,85,95.2002286460885,"6-10","0-3",17
"19",4,"Platanus x acerifolia (Ahornblättrige Platane)",146,1397,91,101.638511095204,"6-10","7-9",18
"20",5,"Celtis australis (Südlicher Zürgelbaum)",251,2126,76.5,84.9049858889934,"6-10","0-3",19
"21",6,"Acer platanoides (Spitzahorn)",110,1186,75,84.5219224283305,"0-5","0-3",20
"22",7,"Acer platanoides (Spitzahorn)",137,1170,64.5,77.0393162393162,"0-5","0-3",21
"23",8,"Acer platanoides (Spitzahorn)",106,864,65,79.8229166666667,"0-5","0-3",22
"24",9,"Acer platanoides (Spitzahorn)",402,2982,88,102.035881958417,"6-10","4-6",23
