NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;INCOME_TOTAL;INCOME_MEN;INCOME_WOMEN;AVERAGE_INCOME_TOTAL;AVERAGE_INCOME_MEN;AVERAGE_INCOME_WOMEN;AVERAGE_INCOME_FULLTIME_TOTAL;AVERAGE_INCOME_FULLTIME_MEN;AVERAGE_INCOME_FULLTIME_WOMEN;REF_DATE
AT1;AT13;AT130;91200;.;894.699.000;538.922.000;355.777.000;16.999;18.834;14.895;22.707;24.815;19.967;20031231
AT1;AT13;AT130;91300;.;747.993.000;482.967.000;265.026.000;24.149;29.800;18.220;31.110;36.866;23.777;20031231
AT1;AT13;AT130;91400;.;1.048.594.000;636.728.000;411.866.000;19.613;22.460;16.534;25.290;28.360;21.497;20031231
AT1;AT13;AT130;91500;.;678.267.000;408.668.000;269.599.000;14.998;16.321;13.415;20.656;22.233;18.559;20031231
AT1;AT13;AT130;91600;.;985.965.000;594.582.000;391.383.000;16.434;17.991;14.593;22.175;24.166;19.621;20031231
AT1;AT13;AT130;91700;.;582.679.000;355.721.000;226.958.000;17.713;19.906;15.215;24.377;27.243;20.751;20031231
AT1;AT13;AT130;91800;.;636.688.000;393.592.000;243.096.000;20.614;24.511;16.593;28.029;32.408;22.744;20031231
AT1;AT13;AT130;91900;.;884.833.000;564.111.000;320.722.000;22.458;27.421;17.292;30.305;35.710;23.702;20031231
AT1;AT13;AT130;92000;.;775.075.000;470.253.000;304.822.000;15.705;17.018;14.096;21.333;22.905;19.221;20031231
AT1;AT13;AT130;92100;.;1.569.339.000;962.041.000;607.298.000;18.070;20.582;15.264;23.321;25.754;20.005;20031231
AT1;AT13;AT130;92200;.;1.872.941.000;1.164.151.000;708.790.000;19.091;22.105;15.745;24.193;26.860;20.453;20031231
AT1;AT13;AT130;92300;.;1.210.574.000;761.743.000;448.831.000;20.869;24.792;16.651;26.455;30.095;21.620;20031231
AT1;AT13;AT130;90100;.;277.130.788;183.951.697;93.179.091;26.854;33.770;19.483;39.843;48.423;29.104;20041231
